"Fmin","Fmin_B","CFI","RMSEA","Size_Of_CR","FC","Number_Of_CR","Location_Of_Misfit","Percent_Missing","Number_of_Missing_Variables","Missing_Mechanism"
0,4.4732,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.028,4.5528,0.9939,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.1196,4.7121,0.9746,0.0475,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.3029,4.9938,0.9394,0.0756,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.5728,5.5438,0.8967,0.104,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
1e-04,3.3319,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.0246,3.4182,0.9928,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.1029,3.582,0.9713,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.2408,3.8677,0.9377,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.3906,4.4201,0.9116,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
1e-04,3.438,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.0252,3.5254,0.9929,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.1058,3.6876,0.9713,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.2525,3.9728,0.9365,0.069,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.4192,4.5252,0.9074,0.0889,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0,3.8628,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.0276,3.9443,0.993,0.0228,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.1181,4.1024,0.9712,0.0472,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.2975,4.385,0.9322,0.0749,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0.5538,4.9353,0.8878,0.1022,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","  MCAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing"," Weak MAR"
0,3.8299,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0246,3.9153,0.9937,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.1029,4.0791,0.9748,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.2408,4.3648,0.9448,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.3906,4.9192,0.9206,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0,3.9493,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0252,4.0387,0.9938,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.1061,4.1999,0.9747,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.2537,4.4844,0.9434,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.4225,5.0383,0.9162,0.0893,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0,4.4344,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0281,4.5129,0.9938,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.1201,4.6718,0.9743,0.0476,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.3042,4.9549,0.9386,0.0758,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0.5778,5.5035,0.895,0.1044,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing"," Weak MAR"
0,3.7146,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.0246,3.7995,0.9935,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.1029,3.9632,0.9741,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.2408,4.249,0.9433,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.3906,4.8005,0.9186,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0,3.8304,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.0252,3.9191,0.9936,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.1061,4.0824,0.974,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.2536,4.3647,0.9419,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.4222,4.9162,0.9141,0.0892,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0,4.3091,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.028,4.3856,0.9936,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.1198,4.5474,0.9737,0.0475,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.3033,4.8272,0.9372,0.0756,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0.5748,5.3767,0.8931,0.1041,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing"," Weak MAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing"," Weak MAR"
0,3.4608,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.0246,3.5472,0.9931,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.1029,3.711,0.9723,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.2408,3.9967,0.9398,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.3906,4.5521,0.9142,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0,3.5752,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.0252,3.6648,0.9931,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.1059,3.8247,0.9723,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.253,4.1117,0.9385,0.0691,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.4204,4.6647,0.9099,0.0891,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0,4.0227,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.0279,4.1029,0.9932,0.0229,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.1189,4.2624,0.9721,0.0474,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.3002,4.5458,0.934,0.0752,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0.5631,5.0941,0.8895,0.1031,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing"," Weak MAR"
0,3.2556,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.0246,3.3402,0.9926,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.1029,3.504,0.9707,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.2408,3.7897,0.9365,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.3906,4.3392,0.91,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0,3.3623,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.0252,3.4513,0.9927,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.1059,3.6114,0.9707,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.2524,3.8954,0.9352,0.069,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.4193,4.4476,0.9057,0.0889,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
1e-04,3.7882,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.0276,3.8661,0.9929,0.0228,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.118,4.029,0.9707,0.0472,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.2973,4.3097,0.931,0.0749,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0.5534,4.8579,0.8861,0.1022,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing"," Weak MAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
